,Gene,Sample,NormalizedCount,Subject.ID,Profile,origID,SULB,GATC.D3,Sex,IVSA,Reads,Reads.after.trim,Mapped.in.pairs,Mapped.to.total.rRNA
1346927,Itpka,ZRCP6733,38.3988243533457,α-D3-71R,PFC,427,,F-O,F,F,21220932,16565542,0.5366,0.0609
1346928,Itpka,ZR84XN36,31.8334145529654,α-D3-72N,PFC,428,,SALINE,F,S,28856300,24466966,0.7202,0.106
1346929,Itpka,ZRQ3A772,45.3552685216996,α-D3-85R,PFC,429,,40 MG/KG w/o SULB,F,F,23617884,16496962,0.7781,0.0415
1346930,Itpka,ZR3VM482,53.086064927587,α-D3-86N,PFC,430,,40 MG/KG w/o SULB,F,F,24358098,21864250,0.7296,0.041
1346931,Itpka,ZR662287,58.6821240655135,α-D3-87R,PFC,431,,40 MG/KG w/o SULB,F,F,28357072,25699040,0.6416,0.0289
1346932,Itpka,ZR2GK843,24.5662176555675,α-D3-88N,PFC,432,,40 MG/KG w/o SULB,F,F,150706450,96405446,0.7227,0.0181
1346933,Itpka,ZRB4F326,27.986357739429,α-D3-89R,PFC,433,,40 MG/KG w/o SULB,F,F,130731170,88795082,0.7515,0.0328
1346934,Itpka,ZR8YW368,41.2213168681842,α-D3-90N,PFC,434,,40 MG/KG w/o SULB,F,F,107152562,55554500,0.7099,0.0194
1346935,Itpka,ZR2873M4,30.1105685206367,β-D3-1R,NAc,435,50 mg/Kg,0 MG/KG,M,F,37818004,25550090,0.7392,0.0916
1346936,Itpka,ZRN8K636,22.8088563720551,β-D3-2N,NAc,436,50 mg/Kg,25 MG/KG,M,F,39307066,29460352,0.7606,0.0548
1346937,Itpka,ZR3A87J7,13.6390831688074,β-D3-3R,NAc,437,50 mg/Kg,40 MG/KG,M,F,65210498,46976552,0.7242,0.0505
1346938,Itpka,ZRDB3727,15.9641215164667,β-D3-4N,NAc,438,50 mg/Kg,70 MG/KG,M,F,58908096,43427864,0.8039,0.0681
1346939,Itpka,ZRP7E884,16.3902761101154,β-D3-5R,NAc,439,,F-O,M,F,58739412,38452808,0.7201,0.0458
1346940,Itpka,ZR83D46U,21.1473297914112,β-D3-6N,NAc,440,,SALINE,M,S,43381832,32014094,0.7608,0.0582
1346941,Itpka,ZRR4433G,29.0965521656303,β-D3-7R,NAc,441,50 mg/Kg,0 MG/KG,M,F,68704002,47143824,0.7392,0.072
1346942,Itpka,ZR6H4R47,13.7805044564261,β-D3-8N,NAc,442,50 mg/Kg,25 MG/KG,M,F,52127324,31470388,0.6238,0.0595
1346943,Itpka,ZRR2K643,22.0286487328647,β-D3-10N,NAc,443,50 mg/Kg,70 MG/KG,M,F,75327348,43402176,0.6242,0.0477
1346944,Itpka,ZR3HA362,14.4726596749163,β-D3-11R,NAc,444,,F-O,M,F,46135214,37380174,0.8027,0.0887
1346945,Itpka,ZR6DQ628,19.9337061271272,β-D3-12N,NAc,445,,SALINE,M,S,57136122,39815082,0.7259,0.0691
1346946,Itpka,ZRT7X387,22.3074167039662,β-D3-13R,NAc,446,50 mg/Kg,0 MG/KG,M,F,66874312,50793488,0.7539,0.0434
1346947,Itpka,ZRET2838,27.7917829109262,β-D3-14N,NAc,447,50 mg/Kg,25 MG/KG,M,F,78568106,58638264,0.7986,0.0498
1346948,Itpka,ZRPG2366,20.6288648365137,β-D3-15R,NAc,448,50 mg/Kg,40 MG/KG,M,F,58258468,30130668,0.8076,0.0538
1346949,Itpka,ZRA2G867,22.4722963328999,β-D3-16N,NAc,449,50 mg/Kg,70 MG/KG,M,F,54380730,38835548,0.7948,0.0531
1346950,Itpka,ZR6GL824,23.7746311494825,β-D3-17R,NAc,450,,F-O,M,F,59020694,42274498,0.7512,0.0884
1346951,Itpka,ZR7667EQ,23.1282708753392,β-D3-18N,NAc,451,,SALINE,M,S,67989494,49841184,0.7426,0.0744
1346952,Itpka,ZRBM8377,28.7653427714554,β-D3-19R,NAc,452,50 mg/Kg,0 MG/KG,M,F,91678686,29837990,0.7165,0.0776
1346953,Itpka,ZRKH6462,20.6474295790525,β-D3-20N,NAc,453,50 mg/Kg,25 MG/KG,M,F,66895928,47583366,0.8217,0.0789
1346954,Itpka,ZR26A2T8,21.897186342934,β-D3-21R,NAc,454,50 mg/Kg,40 MG/KG,M,F,58477252,47217012,0.7988,0.0585
1346955,Itpka,ZRL3M772,26.1985542737211,β-D3-23R,NAc,455,,F-O,M,F,68798014,47085306,0.7471,0.0454
1346956,Itpka,ZR4N876B,28.3599452300108,β-D3-24N,NAc,456,,SALINE,M,S,54792228,41109870,0.7499,0.0689
1346957,Itpka,ZR8C7V84,24.7218488454782,β-D3-25R,NAc,457,50 mg/Kg,0 MG/KG,M,F,73197512,42486378,0.6744,0.0668
1346958,Itpka,ZRCK2342,24.0516879022094,β-D3-26N,NAc,458,50 mg/Kg,25 MG/KG,M,F,70857544,46293600,0.6822,0.0534
1346959,Itpka,ZR2EJ626,18.9826967494871,β-D3-27R,NAc,459,50 mg/Kg,40 MG/KG,M,F,55618598,41527048,0.734,0.0595
1346960,Itpka,ZR74EQ73,31.3563958270741,β-D3-28N,NAc,460,50 mg/Kg,70 MG/KG,M,F,41773012,35741228,0.8193,0.048
1346961,Itpka,ZRH4J446,35.2839683185171,β-D3-30N,NAc,461,,SALINE,M,S,28714718,20485160,0.7574,0.1013
